"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","pi_OET","pt_ffg_pred","pt_NonIns","pt_POET","pt_tv_toler","pt_volt_semi","SC_pi_OET","SC_pt_ffg_pred","SC_pt_NonIns","SC_pt_POET","SC_pt_tv_toler","SC_pt_volt_semi","sum_Index","Index","Index_Nar"
"19-126-15",41.485968,-71.56613,"LO-WORST-P4","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",330,34.5454545454545,23.2142857142857,16.0714285714286,30.3571428571429,10.7142857142857,5.35714285714286,70.5009276437848,72.5446428571429,71.2585034013605,75.8928571428571,76.6233766233766,44.6428571428571,411.463164811379,68.5771941352298,"No Narrative"
"19-126-16",41.517008,-71.526215,"LO-WORST-R2","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,38.2445141065831,19.3548387096774,19.3548387096774,30.6451612903226,12.9032258064516,1.61290322580645,78.050028788945,60.4838709677419,63.4408602150538,76.6129032258064,69.9902248289345,13.4408602150538,362.018748241535,60.3364580402559,"No Narrative"
"19-126-17",41.611783,-71.623135,"CP-BEST-P6","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,18.5897435897436,29.6296296296296,14.8148148148148,38.8888888888889,7.40740740740741,3.7037037037037,37.9382522239665,92.5925925925926,74.2504409171076,97.2222222222222,86.6442199775533,30.8641975308642,419.511925464306,69.9186542440511,"No Narrative"
"19-126-18",41.539436,-71.641848,"CP-BEST-P7","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",310,44.5161290322581,24.5901639344262,6.55737704918033,36.0655737704918,1.63934426229508,4.91803278688525,90.8492429229756,76.844262295082,93.9110070257611,90.1639344262295,100,40.9836065573771,492.752053227425,82.1253422045709,"No Narrative"
"19-126-19",41.512167,-71.641694,"CP-BEST-R2","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",318,41.8238993710692,20.8955223880597,5.97014925373134,41.7910447761194,2.98507462686567,11.9402985074627,85.3548966756514,65.2985074626866,95.3091684434968,100,100,99.5024875621891,545.465060144024,90.9108433573373,"No Narrative"
"19-126-21",42.198319,-71.827439,"CP-WORST-R1","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",324,4.32098765432099,26,32,20,20,2,8.81834215167548,81.25,33.3333333333333,50,48.4848484848485,16.6666666666667,238.553190636524,39.7588651060873,"No Narrative"
"19-126-22",42.085354,-71.629683,"CP-WORST-R2","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",308,61.3636363636364,17.741935483871,9.67741935483871,46.7741935483871,8.06451612903226,1.61290322580645,100,55.4435483870968,86.4823348694316,100,84.652981427175,13.4408602150538,440.019724898757,73.3366208164595,"No Narrative"
"19-126-24",41.847516,-71.612989,"CP-BEST-P10","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,42.0711974110032,22.6415094339623,28.3018867924528,26.4150943396226,13.2075471698113,3.77358490566038,85.8595865530678,70.7547169811321,42.1383647798742,66.0377358490566,69.0680388793596,31.4465408805031,365.304983922994,60.8841639871656,"No Narrative"
"19-126-25",41.626145,-71.631238,"CP-BEST-R1","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,36.2776025236593,23.0769230769231,12.8205128205128,37.1794871794872,5.12820512820513,10.2564102564103,74.035923517672,72.1153846153846,78.998778998779,92.948717948718,93.5508935508935,85.4700854700855,497.119784101533,82.8532973502554,"No Narrative"
"19-126-26",42.09307,-71.53349,"CP-WORST-P6","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",320,25,20.8955223880597,20.8955223880597,22.3880597014925,11.9402985074627,2.98507462686567,51.0204081632653,65.2985074626866,59.772565742715,55.9701492537313,72.9081863410222,24.8756218905473,329.845438853968,54.9742398089946,"No Narrative"
"19-126-27",41.995556,-71.159336,"LO-BEST-P13","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",337,11.5727002967359,28.5714285714286,22.8571428571429,28.5714285714286,11.4285714285714,0,23.6177557076243,89.2857142857143,55.1020408163265,71.4285714285714,74.4588744588745,0,313.892956697111,52.3154927828518,"No Narrative"
"19-126-28",41.966095,-71.175303,"LO-BEST-P14","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",334,7.78443113772455,25,18.1818181818182,34.0909090909091,18.1818181818182,2.27272727272727,15.8865941586215,78.125,66.2337662337662,85.2272727272727,53.9944903581267,18.9393939393939,318.406517417181,53.0677529028635,"No Narrative"
"19-126-29",42.018509,-71.125946,"LO-BEST-P15","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,27.3846153846154,23.0769230769231,13.8461538461538,32.3076923076923,12.3076923076923,6.15384615384615,55.8869701726845,72.1153846153846,76.5567765567766,80.7692307692308,71.7948717948718,51.2820512820513,408.405285191,68.0675475318333,"No Narrative"
"19-126-30",42.093805,-71.011509,"CP-WORST-P1","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,6.5015479876161,28.5714285714286,26.1904761904762,19.047619047619,23.8095238095238,0,13.2684652808492,89.2857142857143,47.1655328798186,47.6190476190476,36.9408369408369,0,234.279597006267,39.0465995010444,"No Narrative"
"19-126-31",41.716955,-71.088929,"LO-BEST-P2","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",303,36.6336633663366,20.5128205128205,7.69230769230769,33.3333333333333,5.12820512820513,2.56410256410256,74.7625782986462,64.1025641025641,91.2087912087912,83.3333333333333,93.5508935508935,21.3675213675214,428.32568186175,71.387613643625,"No Narrative"
"19-126-32",41.960041,-71.235573,"LO-BEST-P6","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",302,9.93377483443709,27.2727272727273,11.3636363636364,18.1818181818182,13.6363636363636,2.27272727272727,20.2730098661981,85.2272727272727,82.4675324675325,45.4545454545455,67.7685950413223,18.9393939393939,320.130349496265,53.3550582493775,"No Narrative"
"19-126-33",41.682489,-71.017475,"LO-BEST-P9","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",305,21.9672131147541,26.530612244898,12.2448979591837,24.4897959183673,8.16326530612245,4.08163265306122,44.8310471729675,82.9081632653061,80.3692905733722,61.2244897959184,84.3537414965986,34.0136054421769,387.70033774634,64.6167229577233,"No Narrative"
"19-126-34",41.669657,-71.026565,"LO-BEST-R2","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",339,19.4690265486726,16.6666666666667,4.76190476190476,38.0952380952381,2.38095238095238,4.76190476190476,39.7327072421889,52.0833333333333,98.1859410430839,95.2380952380952,100,39.6825396825397,424.922616539241,70.8204360898735,"No Narrative"
"19-126-35",41.965284,-70.898969,"LO-WORST-P6","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,0.923076923076923,20.8333333333333,33.3333333333333,8.33333333333333,20.8333333333333,0,1.88383045525903,65.1041666666667,30.1587301587302,20.8333333333333,45.959595959596,0,163.939656573585,27.3232760955975,"No Narrative"
"19-126-37",41.587701,-70.525492,"CAPE-P4","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",343,20.6997084548105,18.8679245283019,18.8679245283019,28.3018867924528,13.2075471698113,1.88679245283019,42.244302969001,58.9622641509434,64.6001796945193,70.7547169811321,69.0680388793596,15.7232704402516,321.352773115207,53.5587955192012,"No Narrative"
"19-126-38",41.767765,-70.635687,"CAPE-P6","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,5.36277602523659,17.1428571428571,28.5714285714286,20,14.2857142857143,2.85714285714286,10.9444408678298,53.5714285714286,41.4965986394558,50,65.8008658008658,23.8095238095238,245.622857689104,40.937142948184,"No Narrative"
"19-126-39",41.774553,-71.085425,"LO-BEST-P1","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,41.4239482200647,28.2608695652174,6.52173913043478,41.304347826087,4.34782608695652,6.52173913043478,84.5386698368668,88.3152173913043,93.9958592132505,100,95.9156785243742,54.3478260869565,517.113251052752,86.1855418421254,"No Narrative"
"19-126-40",41.772798,-70.985684,"LO-BEST-P10","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,24.5954692556634,37.5,14.5833333333333,25,6.25,4.16666666666667,50.1948352156397,100,74.8015873015873,62.5,90.1515151515152,34.7222222222222,412.370159890964,68.7283599818274,"No Narrative"
"19-126-41",41.842433,-70.864275,"LO-BEST-P12","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",324,15.4320987654321,17.5,27.5,25,15,7.5,31.4940791131267,54.6875,44.047619047619,62.5,63.6363636363636,62.5,318.865561797109,53.1442602995182,"No Narrative"
"19-126-43",41.629541,-70.483533,"CAPE-P1","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",331,24.4712990936556,20.4545454545455,13.6363636363636,43.1818181818182,6.81818181818182,6.81818181818182,49.9414267217461,63.9204545454545,77.056277056277,100,88.4297520661157,56.8181818181818,436.166092207775,72.6943487012959,"No Narrative"
"19-126-44",41.592323,-70.507393,"CAPE-P3","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",316,18.9873417721519,26.530612244898,30.6122448979592,28.5714285714286,18.3673469387755,2.04081632653061,38.7496770860243,82.9081632653061,36.6375121477162,71.4285714285714,53.4322820037106,17.0068027210884,300.163008652417,50.0271681087362,"No Narrative"
"19-126-45",41.62863,-70.451455,"CAPE-P5","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",329,24.3161094224924,23.2558139534884,27.906976744186,32.5581395348837,13.953488372093,2.32558139534884,49.6247131071274,72.6744186046512,43.078626799557,81.3953488372093,66.8076109936575,19.3798449612403,332.960563303443,55.4934272172404,"No Narrative"
"19-126-46",41.872506,-71.315224,"LO-Best-R11","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,59.5611285266458,22.4489795918367,26.530612244898,20.4081632653061,8.16326530612245,0,100,70.1530612244898,46.3556851311953,51.0204081632653,84.3537414965986,0,351.882896015549,58.6471493359248,"No Narrative"
"19-126-47",41.839475,-71.410536,"LO-Worst-R1","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",344,22.093023255814,13.3333333333333,44.4444444444444,17.7777777777778,15.5555555555556,0,45.0878025628856,41.6666666666667,3.70370370370371,44.4444444444444,61.952861952862,0,196.855479330562,32.8092465550937,"No Narrative"
"19-126-48",42.241556,-71.803181,"CP-WORST-P2","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",314,18.7898089171975,6.25,27.0833333333333,20.8333333333333,25,0,38.346548810607,19.53125,45.0396825396825,52.0833333333333,33.3333333333333,0,188.334148016956,31.3890246694927,"No Narrative"
"19-126-49",42.215523,-71.838955,"CP-WORST-R3","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",357,22.1288515406162,14.2857142857143,22.8571428571429,31.4285714285714,17.1428571428571,11.4285714285714,45.1609215114617,44.6428571428571,55.1020408163265,78.5714285714286,57.1428571428571,95.2380952380952,375.858200423026,62.6430334038377,"No Narrative"
"19-126-50",42.100901,-70.977109,"NEW-BROC3","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",331,13.595166163142,18.1818181818182,45.4545454545455,6.06060606060606,18.1818181818182,0,27.7452370676367,56.8181818181818,1.2987012987013,15.1515151515152,53.9944903581267,0,155.008125694162,25.8346876156936,"No Narrative"
"19-126-51",42.02263,-70.915833,"NEW-BROC5","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",299,18.7290969899666,18.1818181818182,20,20,14.5454545454545,1.81818181818182,38.2226469182991,56.8181818181818,61.9047619047619,50,65.0137741046832,15.1515151515152,287.110879897441,47.8518133162402,"No Narrative"
"19-126-52",42.062829,-70.909008,"NEW-BROC6","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",306,32.6797385620915,29.2682926829268,21.9512195121951,24.390243902439,14.6341463414634,2.4390243902439,66.6933440042684,91.4634146341463,57.2590011614402,60.9756097560976,64.7450110864745,20.3252032520325,361.461583894459,60.2435973157432,"No Narrative"
"19-126-53",42.171516,-71.799972,"NEW-WORC2","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,37.3801916932907,15.2173913043478,21.7391304347826,34.7826086956522,8.69565217391304,10.8695652173913,76.2861054965117,47.554347826087,57.7639751552795,86.9565217391304,82.7404479578393,90.5797101449275,441.881108319775,73.6468513866292,"No Narrative"
"19-126-54",42.192194,-71.843437,"NEW-WORC4","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",340,5.29411764705882,21.9512195121951,29.2682926829268,12.1951219512195,26.8292682926829,2.4390243902439,10.8043217286915,68.5975609756098,39.8373983739837,30.4878048780488,27.790096082779,20.3252032520325,197.842385291145,32.9737308818575,"No Narrative"
"19-126-55",42.023354,-71.273407,"LO-BEST-R7","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,34.4827586206897,25.3333333333333,22.6666666666667,26.6666666666667,12,0,70.3729767769177,79.1666666666667,55.5555555555556,66.6666666666667,72.7272727272727,0,344.489138393079,57.4148563988466,"No Narrative"
"19-126-56",42.083322,-71.032694,"NEW-BROC1","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",352,13.0681818181818,30.7692307692308,36.5384615384615,17.3076923076923,28.8461538461538,1.92307692307692,26.669758812616,96.1538461538462,22.5274725274725,43.2692307692308,21.6783216783217,16.025641025641,226.324270967128,37.7207118278547,"No Narrative"
"19-126-57",42.069592,-71.010552,"NEW-BROC2","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",322,16.1490683229814,24.390243902439,29.2682926829268,21.9512195121951,14.6341463414634,2.4390243902439,32.9572822917987,76.219512195122,39.8373983739837,54.8780487804878,64.7450110864745,20.3252032520325,288.962455979899,48.1604093299832,"No Narrative"
"19-126-58",42.181874,-71.627189,"CP-BEST-R4","9/2/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,40.2555910543131,26.4150943396226,20.7547169811321,28.3018867924528,5.66037735849057,3.77358490566038,82.1542674577818,82.5471698113208,60.1078167115903,70.7547169811321,91.9382504288165,31.4465408805031,418.948762271145,69.8247937118574,"No Narrative"
"19-126-59",41.833416,-71.276921,"LO-BEST-R9","9/2/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",334,28.7425149700599,23.728813559322,16.9491525423729,28.8135593220339,10.1694915254237,3.38983050847458,58.6581938164487,74.1525423728814,69.1686844229217,72.0338983050847,78.2742681047766,28.2485875706215,380.536174592735,63.4226957654558,"No Narrative"
"2013001",41.702893,-70.104775,"B0851","7/1/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,36.8589743589744,15.625,18.75,40.625,18.75,3.125,75.2223966509681,48.828125,64.8809523809524,100,52.2727272727273,26.0416666666667,367.245867971314,61.2076446618857,"No Narrative"
"2013002",41.643578,-70.453369,"B0850","7/1/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",280,23.2142857142857,15.1515151515152,48.4848484848485,9.09090909090909,27.2727272727273,0,47.3760932944606,47.3484848484849,0,22.7272727272727,26.4462809917355,0,143.898131861954,23.9830219769923,"No Narrative"
"2013003",41.727899,-70.798142,"B0832","7/2/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,4.64396284829721,15.9090909090909,38.6363636363636,13.6363636363636,15.9090909090909,0,9.47747520060656,49.7159090909091,17.5324675324675,34.0909090909091,60.8815426997245,0,171.698303614617,28.6163839357695,"No Narrative"
"2013004",41.727408,-70.856356,"B0855","7/2/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,13.8801261829653,17.6470588235294,23.5294117647059,26.4705882352941,11.7647058823529,0,28.3267881285006,55.1470588235294,53.5014005602241,66.1764705882353,73.4402852049911,0,276.59200330548,46.0986672175801,"No Narrative"
"2013005",41.679671,-70.840825,"B0847","7/3/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",289,14.5328719723183,29.1666666666667,16.6666666666667,27.0833333333333,10.4166666666667,4.16666666666667,29.6589223924864,91.1458333333333,69.8412698412698,67.7083333333333,77.5252525252525,34.7222222222222,370.601833647898,61.7669722746496,"No Narrative"
"2013006",41.633384,-70.986022,"B0862","7/3/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",296,25,5.26315789473684,31.5789473684211,10.5263157894737,21.0526315789474,0,51.0204081632653,16.4473684210526,34.3358395989975,26.3157894736842,45.2950558213716,0,173.414461478371,28.9024102463952,"No Narrative"
"2013008",41.63266,-71.060383,"B0827","7/8/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",276,9.78260869565217,16.6666666666667,11.1111111111111,22.2222222222222,5.55555555555556,7.40740740740741,19.9645075421473,52.0833333333333,83.0687830687831,55.5555555555556,92.2558922558922,61.7283950617284,364.65646681744,60.7760778029066,"No Narrative"
"2013009",41.562812,-71.133855,"B0869","7/8/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",275,18.1818181818182,19.2307692307692,19.2307692307692,30.7692307692308,13.4615384615385,3.84615384615385,37.1057513914657,60.0961538461538,63.7362637362637,76.9230769230769,68.2983682983683,32.0512820512821,338.210896246611,56.3684827077684,"No Narrative"
"2013010",41.755702,-70.983125,"B0840","7/9/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,29.6529968454259,33.3333333333333,36.3636363636364,21.2121212121212,21.2121212121212,3.03030303030303,60.5163200927059,100,22.9437229437229,53.030303030303,44.811753902663,25.2525252525253,306.55462522192,51.0924375369867,"No Narrative"
"2013012",41.744702,-71.248262,"B0834","7/9/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",305,22.9508196721311,10.5263157894737,23.6842105263158,18.4210526315789,21.0526315789474,2.63157894736842,46.8384074941452,32.8947368421053,53.1328320802005,46.0526315789474,45.2950558213716,21.9298245614035,246.143488378173,41.0239147296956,"No Narrative"
"2013013",41.777309,-71.192532,"B0846","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",360,48.8888888888889,23.6842105263158,28.9473684210526,31.5789473684211,15.7894736842105,0,99.7732426303855,74.0131578947368,40.6015037593985,78.9473684210526,61.244019138756,0,354.579291844329,59.0965486407216,"No Narrative"
"2013014",41.800693,-71.304341,"B0842","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,11.5015974440895,18.1818181818182,45.4545454545455,9.09090909090909,31.8181818181818,0,23.4726478450805,56.8181818181818,1.2987012987013,22.7272727272727,12.67217630854,0,116.988979997776,19.4981633329627,"No Narrative"
"2013015",41.830588,-71.329937,"B0866","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",275,9.45454545454546,18.9189189189189,21.6216216216216,16.2162162162162,13.5135135135135,2.7027027027027,19.2949907235622,59.1216216216216,58.043758043758,40.5405405405405,68.1408681408681,22.5225225225225,267.664301592873,44.6107169321455,"No Narrative"
"2013017",41.846114,-71.262551,"B0838","7/11/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",283,16.9611307420495,14.2857142857143,19.047619047619,19.047619047619,14.2857142857143,2.38095238095238,34.6145525347948,44.6428571428571,64.172335600907,47.6190476190476,65.8008658008658,19.8412698412698,276.690928539742,46.1151547566237,"No Narrative"
"2013018",41.907438,-70.979916,"B0837","7/11/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",279,6.45161290322581,25,27.2727272727273,15.9090909090909,20.4545454545455,6.81818181818182,13.1665569453588,78.125,44.5887445887446,39.7727272727273,47.1074380165289,56.8181818181818,279.578648641541,46.5964414402569,"No Narrative"
"2013019.A",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",301,42.8571428571429,17.7777777777778,17.7777777777778,28.8888888888889,8.88888888888889,4.44444444444444,87.4635568513119,55.5555555555556,67.1957671957672,72.2222222222222,82.1548821548822,37.037037037037,401.629021016776,66.9381701694627,"No Narrative"
"2013019.B",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,40.8945686900958,17.0212765957447,17.0212765957447,34.0425531914894,8.51063829787234,2.12765957446809,83.4583034491752,53.1914893617021,68.9969604863222,85.1063829787234,83.3010960670535,17.7304964539007,391.784728796877,65.2974547994795,"No Narrative"
"2013019.C",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",310,38.0645161290323,18.1818181818182,20,30.9090909090909,9.09090909090909,5.45454545454545,77.6826859776169,56.8181818181818,61.9047619047619,77.2727272727273,81.5426997245179,45.4545454545455,400.675602152351,66.7792670253919,"No Narrative"
"2013020",42.042388,-70.898462,"B0841","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",296,57.0945945945946,9.30232558139535,20.9302325581395,30.2325581395349,16.2790697674419,2.32558139534884,100,29.0697674418605,59.6899224806201,75.5813953488372,59.7603946441156,19.3798449612403,343.481324876674,57.2468874794456,"No Narrative"
"2013021",42.068117,-70.914242,"B0845","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",279,2.5089605734767,15.3846153846154,20.5128205128205,10.2564102564103,12.8205128205128,0,5.12032770097286,48.0769230769231,60.6837606837607,25.6410256410256,70.2408702408702,0,209.762907343553,34.9604845572588,"No Narrative"
"2013022",42.018472,-70.922526,"B0833","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",277,33.9350180505415,22.5,20,27.5,17.5,2.5,69.2551388786562,70.3125,61.9047619047619,68.75,56.0606060606061,20.8333333333333,347.116340177357,57.8527233628929,"No Narrative"
"2013023.A",41.997462,-70.953869,"B0863","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",306,15.0326797385621,20,20,26.6666666666667,15.5555555555556,2.22222222222222,30.6789382419635,62.5,61.9047619047619,66.6666666666667,61.952861952862,18.5185185185185,302.221747284773,50.3702912141287,"No Narrative"
